Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Fiat 131,28,4,107,86,2464,15.5,76,Europe
Opel 1900,25,4,116,81,2220,16.9,76,Europe
Capri ii,25,4,140,92,2572,14.9,76,US
Dodge Colt,26,4,98,79,2255,17.7,76,US
Renault 12tl,27,4,101,83,2202,15.3,76,Europe
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76,US
Dodge Coronet Brougham,16,8,318,150,4190,13,76,US
AMC Matador,15.5,8,304,120,3962,13.9,76,US
Ford Gran Torino,14.5,8,351,152,4215,12.8,76,US
Plymouth Valiant,22,6,225,100,3233,15.4,76,US
Chevrolet Nova,22,6,250,105,3353,14.5,76,US
Ford Maverick,24,6,200,81,3012,17.6,76,US
AMC Hornet,22.5,6,232,90,3085,17.6,76,US
Chevrolet Chevette,29,4,85,52,2035,22.2,76,US
Chevrolet Woody,24.5,4,98,60,2164,22.1,76,US
Volkswagen Rabbit,29,4,90,70,1937,14.2,76,Europe
Honda Civic,33,4,91,53,1795,17.4,76,Japan
Dodge Aspen SE,20,6,225,100,3651,17.7,76,US
Ford Grenada ghia,18,6,250,78,3574,21,76,US
Pontiac Ventura SJ,18.5,6,250,110,3645,16.2,76,US
AMC Pacer d/l,17.5,6,258,95,3193,17.8,76,US
Volkswagen Rabbit,29.5,4,97,71,1825,12.2,76,Europe
Datsun B-210,32,4,85,70,1990,17,76,Japan
Toyota Corolla,28,4,97,75,2155,16.4,76,Japan
Ford Pinto,26.5,4,140,72,2565,13.6,76,US
Volvo 245,20,4,130,102,3150,15.7,76,Europe
Plymouth Volare Premier v8,13,8,318,150,3940,13.2,76,US
Peugeot 504,19,4,120,88,3270,21.9,76,Europe
Toyota Mark II,19,6,156,108,2930,15.5,76,Japan
Mercedes-Benz 280s,16.5,6,168,120,3820,16.7,76,Europe
Cadillac Seville,16.5,8,350,180,4380,12.1,76,US
Chevrolet C10,13,8,350,145,4055,12,76,US
Ford F108,13,8,302,130,3870,15,76,US
Dodge D100,13,8,318,150,3755,14,76,US
