Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Plymouth Duster,20,6,198,95,3102,16.5,74,US
Ford Maverick,21,6,200,0,2875,17,74,US
AMC Hornet,19,6,232,100,2901,16,74,US
Chevrolet Nova,15,6,250,100,3336,17,74,US
Datsun B210,31,4,79,67,1950,19,74,Japan
Ford Pinto,26,4,122,80,2451,16.5,74,US
Toyota Corolla 1200,32,4,71,65,1836,21,74,Japan
Chevrolet Vega,25,4,140,75,2542,17,74,US
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74,US
AMC Matador,16,6,258,110,3632,18,74,US
Plymouth Satellite Sebring,18,6,225,105,3613,16.5,74,US
Ford Gran Torino,16,8,302,140,4141,14,74,US
Buick Century Luxus (sw),13,8,350,150,4699,14.5,74,US
Dodge Coronet Custom (sw),14,8,318,150,4457,13.5,74,US
Ford Gran Torino (sw),14,8,302,140,4638,16,74,US
AMC Matador (sw),14,8,304,150,4257,15.5,74,US
Audi Fox,29,4,98,83,2219,16.5,74,Europe
Volkswagen Dasher,26,4,79,67,1963,15.5,74,Europe
Opel Manta,26,4,97,78,2300,14.5,74,Europe
Toyota Corolla,31,4,76,52,1649,16.5,74,Japan
Datsun 710,32,4,83,61,2003,19,74,Japan
