Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,Europe
Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,Japan
Chevrolet Chevette,32.1,4,98,70,2120,15.5,80,US
Datsun 310,37.2,4,86,65,2019,16.4,80,Japan
Chevrolet Citation,28,4,151,90,2678,16.5,80,US
Ford Fairmont,26.4,4,140,88,2870,18.1,80,US
AMC Concord,24.3,4,151,90,3003,20.1,80,US
Dodge Aspen,19.1,6,225,90,3381,18.7,80,US
Audi 4000,34.3,4,97,78,2188,15.8,80,Europe
Toyota Corolla Liftback,29.8,4,134,90,2711,15.5,80,Japan
Mazda 626,31.3,4,120,75,2542,17.5,80,Japan
Datsun 510 Hatchback,37,4,119,92,2434,15,80,Japan
Toyota Corolla,32.2,4,108,75,2265,15.2,80,Japan
Mazda GLC,46.6,4,86,65,2110,17.9,80,Japan
Dodge Colt,27.9,4,156,105,2800,14.4,80,US
Datsun 210,40.8,4,85,65,2110,19.2,80,Japan
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,21.7,80,Europe
Volkswagen Dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe
Audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe
Mercedes-Benz 240d,30,4,146,67,3250,21.8,80,Europe
Honda Civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan
Renault Lecar Deluxe,40.9,4,85,0,1835,17.3,80,Europe
Subaru DL,33.8,4,97,67,2145,18,80,Japan
Volkswagen Rabbit,29.8,4,89,62,1845,15.3,80,Europe
Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan
Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan
Triumph TR7 Coupe,35,4,122,88,2500,15.1,80,Europe
Ford Mustang Cobra,23.6,4,140,0,2905,14.3,80,US
Honda Accord,32.4,4,107,72,2290,17,80,Japan
