Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Plymouth Reliant,27.2,4,135,84,2490,15.7,81,US
Buick Skylark,26.6,4,151,84,2635,16.4,81,US
Dodge Aries Wagon (sw),25.8,4,156,92,2620,14.4,81,US
Chevrolet Citation,23.5,6,173,110,2725,12.6,81,US
Plymouth Reliant,30,4,135,84,2385,12.9,81,US
Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan
Plymouth Champ,39,4,86,64,1875,16.4,81,US
Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan
Subaru,32.3,4,97,67,2065,17.8,81,Japan
Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan
Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan
Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan
Plymouth Horizon 4,34.7,4,105,63,2215,14.9,81,US
Ford Escort 4W,34.4,4,98,65,2045,16.2,81,US
Ford Escort 2H,29.9,4,98,65,2380,20.7,81,US
Volkswagen Jetta,33,4,105,74,2190,14.2,81,Europe
Renault 18i,34.5,4,100,0,2320,15.8,81,Europe
Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan
Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan
Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan
Mazda 626,31.6,4,120,74,2635,18.3,81,Japan
Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe
Saab 900s,0,4,121,110,2800,15.4,81,Europe
Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe
Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan
Buick Century,22.4,6,231,110,3415,15.8,81,US
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US
Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US
