Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Buick Century 350,13,8,350,175,4100,13,73,US
AMC Matador,14,8,304,150,3672,11.5,73,US
Chevrolet Malibu,13,8,350,145,3988,13,73,US
Ford Gran Torino,14,8,302,137,4042,14.5,73,US
Dodge Coronet Custom,15,8,318,150,3777,12.5,73,US
Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,US
Chevrolet Caprice Classic,13,8,400,150,4464,12,73,US
Ford LTD,13,8,351,158,4363,13,73,US
Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,US
Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,US
Buick Electra 225 Custom,12,8,455,225,4951,11,73,US
AMC Ambassador Brougham,13,8,360,175,3821,11,73,US
Plymouth Valiant,18,6,225,105,3121,16.5,73,US
Chevrolet Nova Custom,16,6,250,100,3278,18,73,US
AMC Hornet,18,6,232,100,2945,16,73,US
Ford Maverick,18,6,250,88,3021,16.5,73,US
Plymouth Duster,23,6,198,95,2904,16,73,US
Volkswagen Super Beetle,26,4,97,46,1950,21,73,Europe
Chevrolet Impala,11,8,400,150,4997,14,73,US
Ford Country,12,8,400,167,4906,12.5,73,US
Plymouth Custom Suburb,13,8,360,170,4654,13,73,US
Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,US
AMC Gremlin,18,6,232,100,2789,15,73,US
Toyota Camry,20,4,97,88,2279,19,73,Japan
Chevrolet Vega,21,4,140,72,2401,19.5,73,US
Datsun 610,22,4,108,94,2379,16.5,73,Japan
Mazda RX3,18,3,70,90,2124,13.5,73,Japan
Ford Pinto,19,4,122,85,2310,18.5,73,US
Mercury Capri v6,21,6,155,107,2472,14,73,US
Fiat 124 Sport Coupe,26,4,98,90,2265,15.5,73,Europe
Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,US
Pontiac Grand Prix,16,8,400,230,4278,9.5,73,US
Fiat 128,29,4,68,49,1867,19.5,73,Europe
Opel Manta,24,4,116,75,2158,15.5,73,Europe
Audi 100LS,20,4,114,91,2582,14,73,Europe
Volvo 144ea,19,4,121,112,2868,15.5,73,Europe
Dodge Dart Custom,15,8,318,150,3399,11,73,US
Saab 99le,24,4,121,110,2660,14,73,Europe
Toyota Mark II,20,6,156,122,2807,13.5,73,Japan
Oldsmobile Omega,11,8,350,180,3664,11,73,US
