Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT

Toyota Corolla Hardtop,24,4,113,95,2278,15.5,72,Japan
Dodge Colt Hardtop,25,4,97.5,80,2126,17,72,US
Volkswagen Type 3,23,4,97,54,2254,23.5,72,Europe
Chevrolet Vega,20,4,140,90,2408,19.5,72,US
Ford Pinto Runabout,21,4,122,86,2226,16.5,72,US
Chevrolet Impala,13,8,350,165,4274,12,72,US
Pontiac Catalina,14,8,400,175,4385,12,72,US
Plymouth Fury III,15,8,318,150,4135,13.5,72,US
Ford Galaxie 500,14,8,351,153,4129,13,72,US
AMC Ambassador SST,17,8,304,150,3672,11.5,72,US
Mercury Marquis,11,8,429,208,4633,11,72,US
Buick LeSabre Custom,13,8,350,155,4502,13.5,72,US
Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,US
Chrysler Newport Royal,13,8,400,190,4422,12.5,72,US
Mazda RX2 Coupe,19,3,70,97,2330,13.5,72,Japan
AMC Matador (sw),15,8,304,150,3892,12.5,72,US
Chevrolet Chevelle Concours (sw),13,8,307,130,4098,14,72,US
Ford Gran Torino (sw),13,8,302,140,4294,16,72,US
Plymouth Satellite Custom (sw),14,8,318,150,4077,14,72,US
Volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe
Volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe
Peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe
Renault 12 (sw),26,4,96,69,2189,18,72,Europe
Ford Pinto (sw),22,4,122,86,2395,16,72,US
Datsun 510 (sw),28,4,97,92,2288,17,72,Japan
Toyota Corolla Mark II (sw),23,4,120,97,2506,14.5,72,Japan
Dodge Colt (sw),28,4,98,80,2164,15,72,US
Toyota Corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan
