Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
STRING,DOUBLE,INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,INT,CAT
Datsun PL510,27,4,97,88,2130,14.5,71,Japan
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,US
Toyota Corolla,25,4,113,95,2228,14,71,Japan
Ford Pinto,25,4,98,0,2046,19,71,US
Volkswagen Super Beetle 117,0,4,97,48,1978,20,71,Europe
AMC Gremlin,19,6,232,100,2634,13,71,US
Plymouth Satellite Custom,16,6,225,105,3439,15.5,71,US
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,US
Ford Torino 500,19,6,250,88,3302,15.5,71,US
AMC Matador,18,6,232,100,3288,15.5,71,US
Chevrolet Impala,14,8,350,165,4209,12,71,US
Pontiac Catalina Brougham,14,8,400,175,4464,11.5,71,US
Ford Galaxie 500,14,8,351,153,4154,13.5,71,US
Plymouth Fury iii,14,8,318,150,4096,13,71,US
Dodge Monaco (sw),12,8,383,180,4955,11.5,71,US
Ford Country Squire (sw),13,8,400,170,4746,12,71,US
Pontiac Safari (sw),13,8,400,175,5140,12,71,US
AMC Hornet Sportabout (sw),18,6,258,110,2962,13.5,71,US
Chevrolet Vega (sw),22,4,140,72,2408,19,71,US
Pontiac Firebird,19,6,250,100,3282,15,71,US
Ford Mustang,18,6,250,88,3139,14.5,71,US
Mercury Capri 2000,23,4,122,86,2220,14,71,US
Opel 1900,28,4,116,90,2123,14,71,Europe
Peugeot 304,30,4,79,70,2074,19.5,71,Europe
Fiat 124B,30,4,88,76,2065,14.5,71,Europe
Toyota Corolla 1200,31,4,71,65,1773,19,71,Japan
Datsun 1200,35,4,72,69,1613,18,71,Japan
Volkswagen Model 111,27,4,97,60,1834,19,71,Europe
Plymouth Cricket,26,4,91,70,1955,20.5,71,US
